experiment,checkpoint,pred_conf,nms_iou,match_iou_threshold,total_predictions,total_gt,total_matches,correct_matches,wrong_class_matches,unmatched_predictions,unmatched_gt,mean_iou_matched,matched_accuracy,matched_f1_macro,matched_f1_micro,class_aware_precision,class_aware_recall,class_aware_f1,localization_precision,localization_recall,localization_f1,tp,fp,fn
baseline/epoch10,epoch10,0.25,0.7,0.5,820,760,562,506,56,258,198,0.7727663848960102,0.900355871886121,0.8016340220978619,0.900355871886121,0.6170731707317073,0.6657894736842105,0.640506329113924,0.6853658536585366,0.7394736842105263,0.711392405063291,506,314,254
baseline/epoch11,epoch11,0.25,0.7,0.5,792,760,576,508,68,216,184,0.7772011474395791,0.8819444444444444,0.7910538441708901,0.8819444444444444,0.6414141414141414,0.6684210526315789,0.654639175257732,0.7272727272727273,0.7578947368421053,0.7422680412371135,508,284,252
baseline/epoch12,epoch12,0.25,0.7,0.5,769,760,577,509,68,192,183,0.7727666064399574,0.8821490467937608,0.779204876907155,0.8821490467937608,0.6618985695708712,0.6697368421052632,0.6657946370176586,0.7503250975292588,0.7592105263157894,0.7547416612164813,509,260,251
baseline/epoch13,epoch13,0.25,0.7,0.5,789,760,570,504,66,219,190,0.7744139770666758,0.8842105263157894,0.8096339823235558,0.8842105263157894,0.6387832699619772,0.6631578947368421,0.6507424144609425,0.7224334600760456,0.75,0.7359586830213041,504,285,256
baseline/epoch14,epoch14,0.25,0.7,0.5,691,760,525,463,62,166,235,0.7859299770991007,0.8819047619047619,0.7711204399273334,0.8819047619047619,0.6700434153400868,0.6092105263157894,0.6381805651274983,0.7597684515195369,0.6907894736842105,0.7236388697450035,463,228,297
baseline/epoch15,epoch15,0.25,0.7,0.5,697,760,553,503,50,144,207,0.7819935183628558,0.9095840867992767,0.8478711534426971,0.9095840867992767,0.7216642754662841,0.6618421052631579,0.6904598490048044,0.793400286944046,0.7276315789473684,0.7590940288263556,503,194,257
baseline/epoch16,epoch16,0.25,0.7,0.5,763,760,576,504,72,187,184,0.7802647050056193,0.875,0.8037304162740915,0.875,0.6605504587155964,0.6631578947368421,0.6618516086671045,0.7549148099606815,0.7578947368421053,0.7564018384766906,504,259,256
baseline/epoch17,epoch17,0.25,0.7,0.5,716,760,541,485,56,175,219,0.7739870790633168,0.8964879852125693,0.8194986328773028,0.8964879852125693,0.6773743016759777,0.6381578947368421,0.6571815718157181,0.755586592178771,0.7118421052631579,0.7330623306233063,485,231,275
baseline/epoch18,epoch18,0.25,0.7,0.5,730,760,561,506,55,169,199,0.7807283294179648,0.9019607843137255,0.8404284535558176,0.9019607843137255,0.6931506849315069,0.6657894736842105,0.6791946308724831,0.7684931506849315,0.7381578947368421,0.753020134228188,506,224,254
baseline/epoch19,epoch19,0.25,0.7,0.5,712,760,551,479,72,161,209,0.7856271490860331,0.8693284936479129,0.8132416389777158,0.8693284936479129,0.672752808988764,0.6302631578947369,0.6508152173913043,0.773876404494382,0.725,0.748641304347826,479,233,281
